ID,Name,Description,ImageUrl,ReleaseDate,DiscotinuedDate,Price,Height,Width,Depth,Quantity
1,Laptop Pro 14,Laptop profesional de 14 pulgadas,https://example.com/images/laptop-pro-14.jpg,2025-01-15T09:00:00Z,,4599.90,1.80,31.20,22.10,25.00
2,Monitor UltraWide 34,Monitor panoramico para oficina,https://example.com/images/monitor-ultrawide-34.jpg,2025-02-10T09:30:00Z,,1899.50,36.50,81.50,24.00,18.00
3,Teclado Mecanico,Teclado mecanico con iluminacion,https://example.com/images/teclado-mecanico.jpg,2024-11-05T08:00:00Z,,349.90,4.20,44.00,13.50,60.00
4,Mouse Inalambrico,Mouse ergonomico de alta precision,https://example.com/images/mouse-inalambrico.jpg,2024-10-20T10:15:00Z,,159.90,4.50,7.20,11.50,90.00
5,Docking Station USB-C,Estacion de conexion multipuerto,https://example.com/images/docking-station.jpg,2025-03-01T11:00:00Z,,499.00,2.50,18.00,8.50,35.00
6,Auriculares Bluetooth,Auriculares con cancelacion de ruido,https://example.com/images/auriculares-bluetooth.jpg,2025-01-30T14:00:00Z,,599.90,19.00,17.00,8.00,40.00
7,Camara Web HD,Camara web para videoconferencias,https://example.com/images/camara-web-hd.jpg,2024-09-12T07:45:00Z,,249.50,6.00,10.00,5.50,55.00
8,Silla Ergonomica,Silla ajustable para oficina,https://example.com/images/silla-ergonomica.jpg,2024-08-18T09:20:00Z,,1299.00,118.00,68.00,72.00,12.00
9,Escritorio Elevable,Escritorio electrico de altura ajustable,https://example.com/images/escritorio-elevable.jpg,2025-02-22T13:10:00Z,,2199.90,125.00,140.00,70.00,8.00
10,Disco SSD 1TB,Unidad de almacenamiento de estado solido,https://example.com/images/disco-ssd-1tb.jpg,2024-07-05T15:30:00Z,,399.90,0.70,10.00,7.00,75.00
11,Router WiFi 6,Router de alta velocidad para el hogar,https://example.com/images/router-wifi-6.jpg,2024-12-01T08:40:00Z,,449.00,5.50,24.00,16.00,30.00
12,Impresora Multifuncional,Impresora con escaner y conectividad WiFi,https://example.com/images/impresora-multifuncional.jpg,2024-06-15T10:00:00Z,,899.90,25.00,42.00,38.00,14.00
13,Tablet Business 11,Tablet empresarial de 11 pulgadas,https://example.com/images/tablet-business-11.jpg,2025-03-15T12:30:00Z,,2399.00,0.65,25.50,17.00,20.00
14,Smartphone Enterprise,Telefono inteligente para uso corporativo,https://example.com/images/smartphone-enterprise.jpg,2025-04-01T09:10:00Z,,3199.90,0.80,7.50,15.80,22.00
15,Proyector Portatil,Proyector compacto para presentaciones,https://example.com/images/proyector-portatil.jpg,2024-05-10T16:00:00Z,2026-01-31T23:59:59Z,1499.50,5.00,18.00,14.00,6.00
